         4643644 function calls (4640739 primitive calls) in 15.413 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:427(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:428(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:436(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:437(decorator)
        7    0.000    0.000    0.000    0.000 TiffImagePlugin.py:442(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:650(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:743(TiffImageFile)
        1    0.000    0.000    0.003    0.003 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
       98    0.000    0.000    0.001    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.002    0.002 TiffTags.py:285(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:14(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:104(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1050(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1056(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1074(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1080(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1086(append)
        1    0.000    0.000    0.000    0.000 __init__.py:111(_SetuptoolsVersionMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1121(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ExtractionError)
        3    0.000    0.000    0.000    0.000 __init__.py:1132(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1141(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
       48    0.000    0.000    0.038    0.001 __init__.py:1148(resource_exists)
       48    0.000    0.000    0.031    0.001 __init__.py:1164(resource_stream)
        3    0.000    0.000    0.000    0.000 __init__.py:1183(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:1224(Logger)
        4    0.000    0.000    0.000    0.000 __init__.py:1239(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:1257(debug)
       10    0.000    0.000    0.001    0.000 __init__.py:1361(safe_name)
       10    0.000    0.000    0.001    0.000 __init__.py:1369(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1398(MarkerEvaluation)
        2    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
        1    0.000    0.000    0.338    0.338 __init__.py:15(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:1501(getEffectiveLevel)
        5    0.000    0.000    0.000    0.000 __init__.py:1515(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:152(WorkerQueue)
        1    0.000    0.000    0.000    0.000 __init__.py:1542(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1548(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1556(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1587(NullProvider)
       96    0.001    0.000    0.006    0.000 __init__.py:1594(__init__)
       48    0.000    0.000    0.013    0.000 __init__.py:1607(has_resource)
        5    0.000    0.000    0.001    0.000 __init__.py:1610(has_metadata)
      101    0.001    0.000    0.004    0.000 __init__.py:1676(_fn)
        1    0.000    0.000    0.000    0.000 __init__.py:1691(EggProvider)
       96    0.001    0.000    0.042    0.000 __init__.py:1694(__init__)
       96    0.006    0.000    0.035    0.000 __init__.py:1698(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1712(DefaultProvider)
       53    0.000    0.000    0.011    0.000 __init__.py:1715(_has)
